3.362, 3.011, 3.262, 2.435,     -,     -,     -,     -,     -,     -,     -,     -
2.618, 2.320, 2.381, 3.391,     -,     -,     -,     -,     -,     -,     -,     -
2.193, 1.872, 2.013, 2.088,     -,     -,     -,     -,     -,     -,     -,     -
1.980, 1.665, 1.794, 1.948,     -,     -,     -,     -,     -,     -,     -,     -
1.822, 1.687, 1.736, 1.383,     -,     -,     -,     -,     -,     -,     -,     -
1.740, 1.616, 1.728, 2.180,     -,     -,     -,     -,     -,     -,     -,     -
1.759, 1.712, 1.804, 1.917,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.172, 2.789, 2.950, 2.331,     -,     -,     -,     -,     -,     -,     -,     -
2.484, 2.196, 2.269, 3.082,     -,     -,     -,     -,     -,     -,     -,     -
2.101, 1.789, 1.922, 1.992,     -,     -,     -,     -,     -,     -,     -,     -
1.890, 1.596, 1.713, 1.867,     -,     -,     -,     -,     -,     -,     -,     -
1.736, 1.611, 1.658, 1.326,     -,     -,     -,     -,     -,     -,     -,     -
1.659, 1.547, 1.655, 2.078,     -,     -,     -,     -,     -,     -,     -,     -
1.685, 1.638, 1.725, 1.823,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, 3.434, 3.452,     -,     -,     -,     -,     -,     -,     -,     -
2.982, 2.646, 2.848, 2.206,     -,     -,     -,     -,     -,     -,     -,     -
2.343, 2.071, 2.133, 3.029,     -,     -,     -,     -,     -,     -,     -,     -
1.984, 1.689, 1.813, 1.883,     -,     -,     -,     -,     -,     -,     -,     -
1.775, 1.502, 1.612, 1.759,     -,     -,     -,     -,     -,     -,     -,     -
1.642, 1.518, 1.559, 1.250,     -,     -,     -,     -,     -,     -,     -,     -
1.561, 1.459, 1.558, 1.965,     -,     -,     -,     -,     -,     -,     -,     -
1.587, 1.546, 1.629, 1.721,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, 3.473, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.877, 2.518, 2.668, 2.055,     -,     -,     -,     -,     -,     -,     -,     -
2.182, 1.930, 1.995, 2.876,     -,     -,     -,     -,     -,     -,     -,     -
1.840, 1.564, 1.684, 1.748,     -,     -,     -,     -,     -,     -,     -,     -
1.649, 1.389, 1.493, 1.629,     -,     -,     -,     -,     -,     -,     -,     -
1.517, 1.403, 1.442, 1.158,     -,     -,     -,     -,     -,     -,     -,     -
1.440, 1.349, 1.441, 1.816,     -,     -,     -,     -,     -,     -,     -,     -
1.467, 1.429, 1.504, 1.591,     -,     -,     -,     -,     -,     -,     -,     -

overflow, 3.163, 3.199, 3.389,     -,     -,     -,     -,     -,     -,     -,     -
2.544, 2.280, 2.427, 1.861,     -,     -,     -,     -,     -,     -,     -,     -
1.972, 1.752, 1.809, 2.541,     -,     -,     -,     -,     -,     -,     -,     -
1.655, 1.418, 1.521, 1.579,     -,     -,     -,     -,     -,     -,     -,     -
1.485, 1.258, 1.352, 1.468,     -,     -,     -,     -,     -,     -,     -,     -
1.371, 1.271, 1.306, 1.050,     -,     -,     -,     -,     -,     -,     -,     -
1.304, 1.219, 1.302, 1.637,     -,     -,     -,     -,     -,     -,     -,     -
1.326, 1.290, 1.358, 1.437,     -,     -,     -,     -,     -,     -,     -,     -

3.374, 2.862, 3.005, 3.176,     -,     -,     -,     -,     -,     -,     -,     -
2.307, 2.058, 2.196, 1.668,     -,     -,     -,     -,     -,     -,     -,     -
1.761, 1.573, 1.623, 2.291,     -,     -,     -,     -,     -,     -,     -,     -
1.477, 1.269, 1.363, 1.415,     -,     -,     -,     -,     -,     -,     -,     -
1.325, 1.127, 1.209, 1.314,     -,     -,     -,     -,     -,     -,     -,     -
1.221, 1.135, 1.167, 0.941,     -,     -,     -,     -,     -,     -,     -,     -
1.164, 1.089, 1.165, 1.461,     -,     -,     -,     -,     -,     -,     -,     -
1.183, 1.152, 1.214, 1.283,     -,     -,     -,     -,     -,     -,     -,     -

3.110, 2.628, 2.798, 2.812,     -,     -,     -,     -,     -,     -,     -,     -
2.102, 1.883, 1.998, 1.521,     -,     -,     -,     -,     -,     -,     -,     -
1.597, 1.432, 1.479, 2.089,     -,     -,     -,     -,     -,     -,     -,     -
1.341, 1.155, 1.242, 1.287,     -,     -,     -,     -,     -,     -,     -,     -
