Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.213	-0.06273329	0.213	-0.04236498	0.213	-0.1658609	0.213	-0.1214016	0.213	-0.1024783	0.213	-0.09226739	
0.215	-0.06079561	0.215	-0.03847613	0.215	-0.1659402	0.215	-0.1202869	0.215	-0.1016379	0.215	-0.09137379	
0.216	-0.0590652	0.216	-0.03535965	0.216	-0.1651839	0.216	-0.1190304	0.216	-0.1008373	0.216	-0.0897981	
0.217	-0.05800317	0.217	-0.03217636	0.217	-0.1647824	0.217	-0.1176244	0.217	-0.1001941	0.217	-0.08866055	
0.219	-0.05766806	0.219	-0.02913358	0.219	-0.1650464	0.219	-0.1161025	0.219	-0.09928309	0.219	-0.08832215	
0.22	-0.05758431	0.22	-0.02661608	0.22	-0.1649581	0.22	-0.1146552	0.22	-0.09876695	0.22	-0.08718625	
0.221	-0.05724827	0.221	-0.02311113	0.221	-0.164615	0.221	-0.1129952	0.221	-0.09777235	0.221	-0.08631393	
0.223	-0.05593565	0.223	-0.01948942	0.223	-0.1640365	0.223	-0.1115533	0.223	-0.09697819	0.223	-0.08511174	
0.224	-0.05385906	0.224	-0.01543208	0.224	-0.162782	0.224	-0.1103179	0.224	-0.09631845	0.224	-0.08313311	
0.225	-0.05251022	0.225	-0.01116356	0.225	-0.1610143	0.225	-0.1089952	0.225	-0.09498297	0.225	-0.08178706	
0.227	-0.05087955	0.227	-0.007265058	0.227	-0.1605465	0.227	-0.1073153	0.227	-0.09353353	0.227	-0.08083198	
0.228	-0.04940772	0.228	-0.00377285	0.228	-0.1602785	0.228	-0.1058458	0.228	-0.09223469	0.228	-0.08008986	
0.229	-0.04798248	0.229	-0.0004504483	0.229	-0.1593391	0.229	-0.1040239	0.229	-0.09113568	0.229	-0.07914877	
0.231	-0.04572323	0.231	0.002555205	0.231	-0.1585566	0.231	-0.1023766	0.231	-0.09049292	0.231	-0.07795916	
0.232	-0.04364486	0.232	0.007373184	0.232	-0.1583516	0.232	-0.1006112	0.232	-0.09011529	0.232	-0.0764774	
0.233	-0.04205656	0.233	0.01263939	0.233	-0.1579714	0.233	-0.0984921	0.233	-0.08981858	0.233	-0.07524218	
0.235	-0.04042274	0.235	0.01712941	0.235	-0.1567685	0.235	-0.09644668	0.235	-0.08936726	0.235	-0.07398953	
0.236	-0.03963856	0.236	0.0224933	0.236	-0.1550772	0.236	-0.09459214	0.236	-0.08910213	0.236	-0.07301699	
